id,name,year,rating,availability
11252,All Fowled Up,1955,6.4,Yes
11253,All Fresh Azzes,2001,NULL,Yes
11256,All Girl Revue,1940,3.5,Yes
11257,All God's Children,1964,NULL,Yes
11258,All God's Children,1980,NULL,Yes
11259,All God's Children,2001,NULL,Yes
11260,All God's Chillun' Got Wings,1946,NULL,Yes
11261,All God's Creatures,2002,NULL,Yes
11262,All Good Men,1974,NULL,Yes
11263,All Good Things,2002,NULL,Yes
11265,All Gummed Up,1931,NULL,Yes
11266,All Gummed Up,1947,7.5,Yes
11267,All Hail to the King,1913,NULL,Yes
11268,All Hallowe'en,1952,NULL,Yes
11269,All Hams on Deck,1970,NULL,Yes
11270,All Hands,1940,NULL,Yes
11271,All Hands on Deck,1961,5.4,Yes
11273,All Hell Broke Loose,1995,NULL,Yes
11274,All Holes Stuffed 6,2001,NULL,Yes
11275,All Hot,1902,NULL,Yes
11276,All I Ask,1992,NULL,Yes
11277,All I Desire,1953,5.9,Yes
11278,All I Know Is,1992,NULL,Yes
11279,All I See Is What I Know,2000,NULL,Yes
11280,All I Want for Christmas,1991,5.1,Yes
11281,All I Want for Christmas,2002,7.5,Yes
11283,All I Want Is You... and You... and You...,1974,NULL,Yes
11284,All In,1936,NULL,Yes
11285,All In,1998,NULL,Yes
11286,All In,2005,NULL,Yes
11287,All in a Day,1920,NULL,Yes
11288,All in a Night's Work,1961,5.7,Yes
11289,All in a Night's Work,1999,NULL,Yes
11290,All in a Nutshell,1949,7.8,Yes
11291,All in Dim Cold Night,1974,NULL,Yes
11292,All In Fun,1928,NULL,Yes
11293,All In Good Taste,1983,3.2,Yes
11294,All in the Air,1914,NULL,Yes
11295,All in the Family,1912,NULL,Yes
11297,All in the Family,1992,NULL,Yes
11298,All in the Family: 20th Anniversary Special,1991,NULL,Yes
11299,All in the Family: The E! True Hollywood Story,2000,NULL,Yes
11301,All in the Same Boat,1915,NULL,Yes
11302,All in the Same Boat,1979,NULL,Yes
11304,All in the Swim,1919,NULL,Yes
11305,All in the Wash,1912,NULL,Yes
11306,All Is Fair,1912,NULL,Yes
11307,All Is Fair,1922,NULL,Yes
11308,All Is Fair in Love and War,1911,NULL,Yes
11309,All Is Light - Jan Henderikse,2001,NULL,Yes
11310,All Is Lost,1923,NULL,Yes
11311,All Is Not Gold That Glitters,1917,NULL,Yes
11312,All Jazzed Up,1919,NULL,Yes
11313,All Jazzed Up,1920,NULL,Yes
11314,All Jokes Aside,2000,3.7,Yes
11315,All jordens frjd,1953,NULL,Yes
11316,All Legs #2,1999,NULL,Yes
11317,All Lies End in Murder,1997,NULL,Yes
11318,All Lit Up,1920,NULL,Yes
11319,All Love Excelling,1914,NULL,Yes
11320,All Man,1916,NULL,Yes
11321,All Man,1918,NULL,Yes
11322,All Men Are Apes,1965,NULL,Yes
11323,All Men Are Enemies,1934,NULL,Yes
11324,All Men Are Liars,1919,NULL,Yes
11325,All Men Are Liars,1995,5.3,Yes
11326,All Men Are Mortal,1995,4.4,Yes
11327,All Men Are Pigs,1991,4.3,Yes
11328,All Men Do It!,1995,NULL,Yes
11329,All Mine to Give,1958,6,Yes
11330,All Mixed Up,1914,NULL,Yes
11331,All Mixed Up,1918,NULL,Yes
11332,All Mixed Up,1975,NULL,Yes
11333,All My Babies,1953,NULL,Yes
11334,All My Darling Daughters,1972,NULL,Yes
11335,All My Friends Are Cowboys,1998,6.6,Yes
11336,All My Life,1966,6.2,Yes
11337,All My Life,2004,NULL,Yes
11338,All My Lovely Boys,1990,NULL,Yes
11339,All My Men,1966,NULL,Yes
11340,All My Relations,1990,NULL,Yes
11341,All My Sins Remembered,2003,NULL,Yes
11342,All My Sons,1948,6.6,Yes
11343,All My Sons,1955,NULL,Yes
11344,All My Sons,1986,NULL,Yes
11345,All My Sons,1990,NULL,Yes
11346,All My Ties,2000,NULL,Yes
11347,All Natural,1999,NULL,Yes
11350,All Natural 4,2000,NULL,Yes
11352,All Neat in Black Stockings,1968,8.7,Yes
11353,"All New Adventures of Chastity Blade, The",2000,NULL,Yes
11354,"All New Adventures of Laurel & Hardy: For Love or Mummy, The",1999,3.4,Yes
11356,All Night,1918,5.7,Yes
11357,All Night Bodega,2002,7.1,Yes
11358,All Night Diner,2000,NULL,Yes
11359,All Night Long,1924,6.3,Yes
11360,All Night Long,1961,5.7,Yes
11362,All Night Long,1981,5.5,Yes
11363,All Night Long (1989/I),1989,NULL,Yes
11364,All Night Long,1991,6,Yes
11368,All Nude Cyber,1998,NULL,Yes
11370,All Nude Page 3 Models: Adele Stephens & Karen Partington,1999,NULL,Yes
11371,All Nude Page 3 Models: Belinda Charlton and Vicky Lee,1997,NULL,Yes
11372,All Nude Page 3 Models: Eve Vorley and Charmaine Sinclair,1997,NULL,Yes
11373,All Nude Page 3 Models: Lana Cox & Teresa May,1997,NULL,Yes
11374,All Nude Page 3 Models: Linsey Dawn McKenzie & Donna Ewin,1996,NULL,Yes
11375,All Nude Page 3 Models: Louise Hodges & Angie Taylor,1998,NULL,Yes
11376,All Nude Page 3 Models: Sami Walker & Natasha Lester,1998,NULL,Yes
11377,All Nude Page 3 Models: Vida Garman & Shanine Linton,1997,NULL,Yes
11378,All Nude Sabrina,1998,NULL,Yes
11379,All Nude Summer,1998,NULL,Yes
11380,All Nude: Kindan no numori,1995,NULL,Yes
11381,All of a Sudden Norma,1919,NULL,Yes
11382,All of a Sudden Peggy,1920,NULL,Yes
11383,All of a Tremble,1930,NULL,Yes
11384,All of It,1999,6.2,Yes
11385,All of Me,1934,6.7,Yes
11386,All of Me,1984,6.6,Yes
11387,All of Me,1991,6.9,Yes
11388,All of the Dead,2000,6.6,Yes
11389,All of Us Stronger,1976,NULL,Yes
11390,All on a Mardi Gras Day,2003,NULL,Yes
11391,All on Account of a Banana,1912,NULL,Yes
11392,All on Account of a Jug,1914,NULL,Yes
11393,All on Account of a Photo,1915,NULL,Yes
11394,All on Account of a Portrait,1913,NULL,Yes
11395,All on Account of a Ring,1912,NULL,Yes
11396,All on Account of a Transfer,1913,NULL,Yes
11397,All on Account of a Widow,1912,NULL,Yes
11398,All on Account of an Egg,1913,NULL,Yes
11399,All on Account of Checkers,1912,NULL,Yes
11400,All on Account of Daisy,1913,NULL,Yes
11401,All on Account of Eliza,1902,NULL,Yes
11402,All on Account of Polly,1914,NULL,Yes
11403,All on Account of the Cheese,1914,NULL,Yes
11404,All on Account of the Milk,1910,NULL,Yes
11405,All on Account of the Porter,1911,NULL,Yes
11406,All on Account of Towser,1915,NULL,Yes
11407,All On Accounta Pullin' A Trigger,2002,NULL,Yes
11408,All or Nothing,1998,NULL,Yes
11409,All or Nothing,2001,4.3,Yes
11410,All or Nothing (2002/I),2002,7.5,Yes
11411,All or Nothing (2002/II),2002,NULL,Yes
11412,All or Nothing at All,1993,NULL,Yes
11413,All Orientals Look the Same,1987,NULL,Yes
11414,All Our Sons: Fallen Heroes of 9/11,2004,NULL,Yes
11415,All Out,1991,5,Yes
11416,All Out for 'V',1942,NULL,Yes
11417,All Over,1976,NULL,Yes
11418,All Over a Stocking,1916,NULL,Yes
11419,All Over a Twist,1923,NULL,Yes
11420,All Over Again,2001,4.6,Yes
11421,All Over Brazil,2003,5.7,Yes
11422,All Over Down Under,1986,NULL,Yes
11423,All Over His Biscuits,1915,NULL,Yes
11425,All Over Me,1997,6.8,Yes
11426,All Over the Guy,2001,6.3,Yes
11427,All Over the Town,1949,NULL,Yes
11428,All Over the World,1967,NULL,Yes
11429,All Over Town,1937,3.6,Yes
11430,All Packed in a Small House,1965,NULL,Yes
11431,"All Pain, No Gain",1991,NULL,Yes
11432,All Parts,1928,NULL,Yes
11435,All Pissed Off 7,2001,NULL,Yes
11436,All Pissed Off 8,2001,NULL,Yes
11437,All Power to the People,1996,6.2,Yes
11438,All Purpose Cultural Cat Girl Nuku Nuku Dash 2,2003,NULL,Yes
11439,"All Purpose Cultural Cat Girl Nuku Nuku TV, Vol. 1: Keep the Peace on Earth!",2004,NULL,Yes
11440,All Quiet on the Western Front,1930,8.2,Yes
11441,All Quiet on the Western Front,1979,NULL,Yes
11442,All Riot on the Western Front,1930,NULL,Yes
11443,All Rivers Meet the Sea,1913,NULL,Yes
11444,All Roads Lead to Calvary,1921,NULL,Yes
11445,All Rounder,1984,NULL,Yes
11446,All Saint's Day,2000,4.5,Yes
11447,All Saints: The First Video,1998,NULL,Yes
11448,All Sealed Up,1934,NULL,Yes
11449,All Set,1928,NULL,Yes
11450,All She Ever Wanted,1996,NULL,Yes
11451,All Shook Up,1999,5.7,Yes
11452,All Soaped Up,2002,NULL,Yes
11453,All Sorts and Conditions of Men,1921,NULL,Yes
11454,All Souls' Day,1997,2.4,Yes
11455,All Souls' Eve,1921,NULL,Yes
11456,"All Stakes Are Down, No More Bets",1971,NULL,Yes
11457,All Star,2000,NULL,Yes
11459,All Star Cartoon Revue,1978,NULL,Yes
11460,"All Star Celebration: Vote '88, An",1988,NULL,Yes
11461,All Star Comedy,1982,NULL,Yes
11462,"All Star Comedy Show, The",2004,NULL,Yes
11463,All Star Musical Revue,1945,NULL,Yes
11464,All Stars,1997,7.4,Yes
11465,All Steamed Up,1929,NULL,Yes
11466,All Stuck Up,1915,NULL,Yes
11467,All Stuck Up,1920,NULL,Yes
11468,All Stuck Up,1930,NULL,Yes
11469,All Summer in a Day,1982,NULL,Yes
11470,All Systems Go,1966,NULL,Yes
11471,All Talking... All Singing... All Dancing,1971,NULL,Yes
11472,All Teed Off,1967,NULL,Yes
11473,All Teed Up,1930,7.2,Yes
11474,All That,1996,NULL,Yes
11475,All That 2,1996,NULL,Yes
11476,All That Glistens Is Not Gold,1925,NULL,Yes
11477,All That Glitters,1937,NULL,Yes
11478,All That Glitters,1990,NULL,Yes
11480,All That Glitters,1995,NULL,Yes
11481,All That Glitters Is Not Goldfish,1919,NULL,Yes
11482,All that glitterz,1997,NULL,Yes
11483,All That Heaven Allows,1955,7.4,Yes
11484,All That I Have,1951,NULL,Yes
11485,All That Jazz,1979,7.4,Yes
11486,All That Jazzin',1998,NULL,Yes
11489,All That You Love Will Be Carried Away,2004,NULL,Yes
11491,All the Advantages,1972,NULL,Yes
11492,All the Best Cowboys Have Chinese Eyes,1982,NULL,Yes
11493,All the Best Nicki,1988,NULL,Yes
11494,"All the Best, Barbara",1989,NULL,Yes
11495,All the Brothers Were Valiant,1923,NULL,Yes
11496,All the Brothers Were Valiant,1953,5.9,Yes
11497,All the Cats Join In,1946,5.9,Yes
11498,All the Comforts of Home,1912,NULL,Yes
11499,All the Corners of the World,1989,NULL,Yes
11500,All the Days of My Life,1982,NULL,Yes
11501,All the Dog's Fault,1914,NULL,Yes
11502,All the Fine Young Cannibals,1960,5.2,Yes
11503,All the Fun of the Fair,1979,NULL,Yes
11505,All the Girls I've Loved Before,2003,NULL,Yes
11506,All the Great Operas in 10 Minutes,1992,1,Yes
11507,All the Invisible Children,2006,NULL,Yes
11508,All the Kids Do It,1984,NULL,Yes
11509,All the Kind Strangers,1974,NULL,Yes
11510,All the King's Horses,1934,4.8,Yes
11511,All the King's Horses,1977,5.4,Yes
11512,All the King's Horses,1995,NULL,Yes
11514,All the King's Men,1949,7.7,Yes
11515,All the King's Men,1958,NULL,Yes
11516,All the King's Men,1999,NULL,Yes
11517,All the King's Men,2005,NULL,Yes
11518,All the Kings Horses,2004,NULL,Yes
11519,All the Little Animals,1998,6.6,Yes
11521,All the Lovin' Kinfolk,1970,NULL,Yes
11522,All the Loving Couples,1969,NULL,Yes
11523,All the Merry Bow-Wows,1921,NULL,Yes
11524,All the Money in the World,1983,NULL,Yes
11525,All the President's Men,1976,8,Yes
11526,All the President's Women,1994,NULL,Yes
11528,All the Presidents' Movies,2003,NULL,Yes
11529,All the Pretty Horses,2000,5.7,Yes
11530,All the Queen's Cooks,2004,NULL,Yes
11531,All the Queen's Men,2001,5,Yes
11532,All the Rage,1997,6.8,Yes
11533,All the Rage,1999,5.7,Yes
11535,All the Real Girls,2003,6.7,Yes
11537,All the Right Moves,1983,5.7,Yes
11538,All the Right Moves,1997,NULL,Yes
11539,All the Right Noises,1969,4.7,Yes
11540,All the Right Stuff,1997,NULL,Yes
11541,All the Rivers Run 2,1990,NULL,Yes
11542,All the Sad World Needs,1918,NULL,Yes
11545,All the Ugly Maids,2001,NULL,Yes
11546,All the Vermeers in New York,1990,5.9,Yes
11549,All the Way,1998,5.4,Yes
11550,All the Way Down,1966,NULL,Yes
11552,All the Way Home,1963,7.4,Yes
11553,All the Way Home,1971,NULL,Yes
11554,All the Way Home,1981,NULL,Yes
11556,All the Way In,1996,NULL,Yes
11558,All the Way to Paris,1965,NULL,Yes
11559,All the Way to Worcester,1996,NULL,Yes
11560,All the Way Up,1970,NULL,Yes
11561,All the Way Up,1994,NULL,Yes
11562,All the Way... A Decade of Song,1999,NULL,Yes
11563,All the Winners,1920,NULL,Yes
11564,All the Winters That Have Been,1997,NULL,Yes
11565,All the World to Nothing,1918,NULL,Yes
11566,All the World's a Stage,1910,NULL,Yes
11567,All the World's a Stage,1915,NULL,Yes
11568,All the World's a Stage,1917,NULL,Yes
11569,All the World's a Stooge,1941,6.8,Yes
11570,All the Wrong Places,2000,6.2,Yes
11571,All the Years,1984,NULL,Yes
11572,All the Years of Her Life,1974,NULL,Yes
11573,All the Young Men,1960,5.9,Yes
11574,All the Young Wives,1974,NULL,Yes
11575,All Things Bright and Beautiful,1984,NULL,Yes
11576,All Things Bright and Beautiful,1994,7.4,Yes
11577,All Things Fare,1999,NULL,Yes
11578,All This and Rabbit Stew,1941,6.6,Yes
11579,All This and Rabbit Stew,1950,NULL,Yes
11580,All This and World War II,1976,5.7,Yes
11581,"All This, and Christmas Too!",1971,NULL,Yes
11582,"All This, and Heaven Too",1940,7.4,Yes
11583,All Through the Night,1942,6.9,Yes
11584,All Tied Up,1925,NULL,Yes
11586,All Tied Up,1994,NULL,Yes
11588,All Together,1942,5.9,Yes
11589,All Together Now,1970,NULL,Yes
11590,All Together Now,1975,NULL,Yes
11591,All Tomorrow's Parties,2003,6.1,Yes
11592,All Up a Tree,1926,NULL,Yes
11593,All Visitors Must Be Announced: The Lives and Loves of Doormen in New York City,1997,NULL,Yes
11594,All Washed Up,1927,NULL,Yes
11595,All Water Has a Perfect Memory,2002,7.8,Yes
11596,All Wet (1922/I),1922,NULL,Yes
11597,All Wet (1922/II),1922,NULL,Yes
11598,All Wet,1924,NULL,Yes
11599,All Wet,1926,NULL,Yes
11600,All Wet (1927/I),1927,NULL,Yes
11601,All Wet (1927/II),1927,NULL,Yes
11602,All Wet,1930,NULL,Yes
11603,All White,1999,NULL,Yes
11604,All Wives Party,2004,NULL,Yes
11605,All Woman,1918,NULL,Yes
11606,All Woman,1967,NULL,Yes
11607,All Women Are Bad,1969,NULL,Yes
11608,All Women Have Periods,1979,1,Yes
11609,All Women Have Secrets,1939,NULL,Yes
11610,All Wool,1925,NULL,Yes
11611,All Work and No Pay,1942,NULL,Yes
11612,All Wrapped Up In Life,2002,NULL,Yes
11613,All Wrong,1919,NULL,Yes
11614,All Wrong,1921,NULL,Yes
11615,All Wrong,1922,NULL,Yes
11616,All You Can Dream,1986,NULL,Yes
11617,All You Can Eat,1994,NULL,Yes
11618,All You Have to Do,1982,NULL,Yes
11619,All You Need,2001,7.4,Yes
11620,All You Need Is Love,1997,NULL,Yes
11621,All You Need Is Luv,2004,NULL,Yes
11622,All You Need Is Money,1974,NULL,Yes
11623,All You Zombie,2001,NULL,Yes
11624,All Your Difference,2003,NULL,Yes
11625,All' Arrabbiata - Eine kochende Leidenschaft,2001,NULL,Yes
11626,"All'armi, siam fascisti",1962,NULL,Yes
11627,All'ombra della gloria,1945,NULL,Yes
11628,All'ombra delle aquile,1966,NULL,Yes
11629,All'ombra di una colt,1965,2.3,Yes
11630,All'onorevole piacciono le donne (Nonostante le apparenze... e purch la nazione non lo sappia),1972,NULL,Yes
11631,All's Fair,1938,NULL,Yes
11632,All's Fair,1989,3.1,Yes
11633,All's Fair at the Fair,1938,5.1,Yes
11634,All's Fair at the Fair,1947,5.2,Yes
11635,All's Fair in Love & War,1996,6,Yes
11636,All's Fair in Love,1914,NULL,Yes
11637,All's Fair in Love,1921,NULL,Yes
11638,All's Fair in Love and War,1909,NULL,Yes
11639,All's Swell on the Ocean,1924,NULL,Yes
11640,All's Swell That Ends Swell,1926,NULL,Yes
11641,All's Well,1941,NULL,Yes
11642,All's Well That Ends Well,1907,NULL,Yes
11643,All's Well That Ends Well,1913,NULL,Yes
11644,All's Well That Ends Well,1914,NULL,Yes
11645,All's Well That Ends Well,1940,NULL,Yes
11646,All's Well That Ends Well,1968,NULL,Yes
11647,All's Well That Ends Well,1978,NULL,Yes
11648,All's Well That Ends Well,1981,NULL,Yes
11649,All'ultimo sangue,1968,NULL,Yes
11650,"All-American Alphabet, The",2002,NULL,Yes
11651,All-American Blondes,1939,NULL,Yes
11652,"All-American Boy, The",1973,3.7,Yes
11653,All-American Drawback,1935,NULL,Yes
11654,All-American Girl,2005,NULL,Yes
11655,"All-American Girl, The",1972,3,Yes
11658,"All-American Hollywood Hussy Contest, The",1991,NULL,Yes
11660,"All-American Kickback, The",1931,NULL,Yes
11661,All-American Murder,1992,NULL,Yes
11662,All-American Sweetheart,1937,NULL,Yes
11663,All-American Toothache,1936,7.3,Yes
11664,"All-American Woman, The",1973,NULL,Yes
11665,"All-American, The",1932,NULL,Yes
11666,"All-Colored Vaudeville Show, An",1935,6.6,Yes
11668,All-Nude Workout 1,1993,NULL,Yes
11669,"All-Seeing Eye, The",1912,NULL,Yes
11670,All-Star 25th Birthday: Stars and Street Forever!,1994,NULL,Yes
11671,All-Star Birthday Party at Annapolis,1982,NULL,Yes
11672,"All-Star Bond Rally, The",1945,7.6,Yes
11673,All-Star Cast,1924,NULL,Yes
11674,"All-Star Celebration Honoring Martin Luther King Jr., An",1986,NULL,Yes
11675,All-Star Celebration Opening the Gerald R. Ford Presidential Museum,1981,NULL,Yes
11676,All-Star Comedy Birthday Party from West Point,1981,NULL,Yes
11677,All-Star Concert for Montserrat,1997,NULL,Yes
11678,All-Star Family Feud Special,1977,NULL,Yes
11679,All-Star Hockey,1995,NULL,Yes
11680,"All-Star Hockey, Vol. 2: Winning Techniques",1998,NULL,Yes
11681,All-Star Melody Masters,1943,NULL,Yes
11682,All-Star Olympic Salute: Countdown to Salt Lake City,2002,NULL,Yes
11683,All-Star Party for Aaron Spelling,1998,NULL,Yes
11684,All-Star Production of Patriotic Episodes for the Second Liberty Loan,1917,NULL,Yes
11685,All-Star Salute to Mother's Day,1981,NULL,Yes
11686,"All-Star Toast to the Improv, An",1988,NULL,Yes
11687,"All-Star Tribute to Brian Wilson, An",2001,NULL,Yes
11688,"All-Star Tribute to Elizabeth Taylor, An",1977,NULL,Yes
11689,"All-Star Tribute to John Wayne, An",1976,NULL,Yes
11690,"All-Star Tribute to Johnny Cash, An",1999,NULL,Yes
11691,Alla bara frsvinner,2004,NULL,Yes
11692,Alla capitale,1916,NULL,Yes
11693,Alla dagar alla ntter,1996,NULL,Yes
11694,Alla en el Rancho Chico,1992,NULL,Yes
11695,Alla en la plaza Garibaldi,1981,NULL,Yes
11696,Alla Fiat era cos,1990,NULL,Yes
11697,Alla fine della notte,2003,NULL,Yes
11698,Alla mia cara mamma nel giorno del suo compleanno,1974,NULL,Yes
11699,Alla mina sner,1965,NULL,Yes
11700,Alla Nazimova and Rudolph Valentino,2000,NULL,Yes
11701,"Alla Nazimova, l'enfant terrible d'Hollywood",1997,NULL,Yes
11702,Alla pressione,1995,NULL,Yes
11703,Alla ricerca del piacere,1972,6.1,Yes
11704,Alla ricerca dell'impero sepolto,1987,4.6,Yes
11705,Alla ricerca di Sheherazade,1999,NULL,Yes
11706,Alla ricerca di Tadzio,1970,8.2,Yes
11707,Alla rivoluzione sulla due cavalli,2001,6.6,Yes
11708,Alla scoperta dell'Africa,1966,NULL,Yes
11709,Alla tiders 91 Karlsson,1953,NULL,Yes
11710,Alla tiders Karlsson,1936,NULL,Yes
11711,Alla turca,1996,NULL,Yes
11712,Alla vi barn i Bullerbyn,1960,5.7,Yes
11713,Alla vi barn i Bullerbyn,1986,6.8,Yes
11714,Alla vra morgondagar,1994,NULL,Yes
11715,Alla lskade Alice,1989,NULL,Yes
11716,Alla lskar Alice,2002,6.5,Yes
11717,"Allabad, the Arabian Wizard",1900,NULL,Yes
11718,Allad,1995,NULL,Yes
11719,Alladdin Ka Chirag,1957,NULL,Yes
11720,Alladdin Laila,1957,NULL,Yes
11721,Alladin and the Wonderful Lamp,1900,NULL,Yes
11722,Alladin and the Wonderful Lamp,1931,NULL,Yes
11723,Alladin from Manhattan,1936,NULL,Yes
11724,Alladin II,1936,NULL,Yes
11725,Allah 3311,1914,NULL,Yes
11726,Allah byktr,1959,NULL,Yes
11727,Allah cezani versin Osman Bey,1961,NULL,Yes
11728,Allah Ka Pyara,1927,NULL,Yes
11729,Allah Kerihm,1955,NULL,Yes
11730,Allah kerim,1950,NULL,Yes
11731,Allah korkusu,1958,NULL,Yes
11732,Allah maana,1955,NULL,Yes
11733,Allah Rakha,1986,NULL,Yes
11734,Allah seviniz dedi,1962,NULL,Yes
11735,Allah Tantou,1991,NULL,Yes
11737,Allah'in cenneti,1939,NULL,Yes
11738,Allahaismarladik,1951,NULL,Yes
11739,Allahaismarladik,1966,NULL,Yes
11740,Allahaismarladik Istanbul,1966,NULL,Yes
11741,Allahaismarladik yavrum,1966,NULL,Yes
11742,Allahs brn,2002,NULL,Yes
11743,Allahs danske piger,2002,NULL,Yes
11744,Allahs vilje,1998,NULL,Yes
11745,Allahtan bul,1952,NULL,Yes
11746,Allahu Akbar,1959,NULL,Yes
11747,Allahu Akbar,1977,NULL,Yes
11748,Allan Field's Warning,1913,NULL,Yes
11749,Allan in Wonderland,1964,NULL,Yes
11750,Allan Quatermain and the Lost City of Gold,1987,3.7,Yes
11751,Allan Sherman: Folk Singer?,1965,NULL,Yes
11752,"Allan Stewart Show, The",1980,NULL,Yes
11753,Allanamiento de morada,1998,8.5,Yes
11754,Allari Bullodu,1978,NULL,Yes
11755,Allari Mogudu,1992,NULL,Yes
11756,Allari Pillalu,1978,NULL,Yes
11757,Allari Police,1994,NULL,Yes
11758,Allari Premikudu,1994,NULL,Yes
11759,Allari Priyudu,1993,NULL,Yes
11760,Allauddin Adhbhuta Deepam,1957,NULL,Yes
11761,Allavudeenum Arputha Vilakkum,1957,NULL,Yes
11762,Allayi... kai to louri tis manas,1982,NULL,Yes
11763,Allazhar,1993,NULL,Yes
11764,Alle dagen feest,1976,6.1,Yes
11765,Alle disse dage,1993,NULL,Yes
11766,Alle fr Arbeit,1998,NULL,Yes
11767,Alle fr die Mafia,1997,NULL,Yes
11768,Alle Geister kreisen,1985,NULL,Yes
11769,Alle gr rundt og forelsker sig,1941,NULL,Yes
11770,Alle haben geschwiegen,1996,NULL,Yes
11771,Alle Jahre wieder,1967,NULL,Yes
11772,Alle Juden raus!,1991,NULL,Yes
11773,Alle kann ich nicht heiraten,1952,NULL,Yes
11774,Alle Kinder brauchen Liebe,2000,NULL,Yes
11775,Alle Ktzchen naschen gern,1969,4.8,Yes
11776,Alle lieben Climare,1973,NULL,Yes
11777,Alle lieben Peter,1959,NULL,Yes
11778,Alle lieben Willy Wuff,1995,NULL,Yes
11779,Alle Macht der Erde,1962,NULL,Yes
11780,Alle man p post,1940,NULL,Yes
11781,Alle mand paa dk,1942,NULL,Yes
11782,Alle meine Mdchen,1980,NULL,Yes
11783,Alle Menschen werden Brder,1973,2.1,Yes
11784,Alle Snden dieser Erde,1958,NULL,Yes
11785,Alle Tage ist kein Sonntag,1935,NULL,Yes
11786,Alle Tage ist kein Sonntag,1959,NULL,Yes
11787,Alle tiders kupp,1964,4.9,Yes
11788,Alle vogels vliegen,1983,NULL,Yes
11789,Alle Wege fhren heim,1957,NULL,Yes
11790,Allee der Kosmonauten,1999,NULL,Yes
11791,Alleen voor U,1935,NULL,Yes
11792,Allegheny Stories,1998,NULL,Yes
11793,Allegheny Uprising,1939,6.2,Yes
11794,Allegoria,1979,7.8,Yes
11795,Allegoria,1988,NULL,Yes
11796,Allegorical Floats,1898,NULL,Yes
11797,Allegorical Procession,1902,NULL,Yes
11798,Allegretto,1936,8.6,Yes
11799,Allegri becchini... arriva Trinit,1972,NULL,Yes
11800,Allegri masnadieri,1937,NULL,Yes
11801,Allegro,1939,NULL,Yes
11802,Allegro,2005,NULL,Yes
11803,Allegro barbaro,1979,8.1,Yes
11804,"Allegro cantante, L'",1938,NULL,Yes
11805,Allegro con brio,1987,NULL,Yes
11806,"Allegro fantasma, L'",1941,NULL,Yes
11807,Allegro ma non troppo,1985,9.2,Yes
11808,Allegro non troppo,1977,7.1,Yes
11809,Allegro s ognyom,1979,NULL,Yes
11810,"Allegro squadrone, L'",1954,NULL,Yes
11811,Allein,2002,NULL,Yes
11812,Allein auf dem Mars,1997,NULL,Yes
11813,Allein machen sie dich ein,1974,NULL,Yes
11814,Allein unter Frauen,1991,6.6,Yes
11815,Allein unter Mnnern,2001,NULL,Yes
11816,Alleingang zu zweit,1987,NULL,Yes
11817,"Alleinseglerin, Die",1987,NULL,Yes
11818,Alleinstehend,1983,NULL,Yes
11820,Allemaal naar bed,1970,NULL,Yes
11821,Allemaal tuig!,1982,NULL,Yes
11822,Allemagne 90 neuf zro,1991,6,Yes
11823,Alleman,1963,8.1,Yes
11824,Allemande im Herbst,1962,NULL,Yes
11825,Allen and Rossi Meet Dracula and Frankenstein,1974,NULL,Yes
11826,Allen Boesak: Choosing for Justice,1984,NULL,Yes
11827,"Allen Daviau, ASC on Psychedelic Film Effects",2003,NULL,Yes
11828,"Allenatore nel pallone, L'",1984,7.1,Yes
11829,Allentown Duck Farm,1903,NULL,Yes
11830,Aller et retour,1948,NULL,Yes
11831,Aller guten Dinge sind drei,1980,NULL,Yes
11832,Aller Liebe Anfang,1972,NULL,Yes
11833,Aller simple pour Manhattan,2002,5.9,Yes
11834,Aller  Dieppe sans voir la mer,1989,NULL,Yes
11835,Aller-retour,1977,NULL,Yes
11836,"Allerbeste Stck, Das",2004,NULL,Yes
11837,Allerd Fishbein's in Love,1999,6.6,Yes
11838,Allergic to Love,1944,NULL,Yes
11839,Allergic to Nuts,2003,NULL,Yes
11840,Allergy,1970,NULL,Yes
11841,"Allerhoogste, Het",1987,NULL,Yes
11842,Allerlei Bilder aus Bethel,1924,NULL,Yes
11843,"Allerletzte, Der",1979,NULL,Yes
11844,Allerseelen,2003,NULL,Yes
11845,Alles,2000,NULL,Yes
11846,Alles anders,2002,NULL,Yes
11847,Alles auf Anfang,1994,4.1,Yes
11848,Alles auf die Siebzehn,1998,NULL,Yes
11849,Alles aus Liebe,1943,NULL,Yes
11850,Alles aus Liebe,1986,NULL,Yes
11851,Alles auer Mord - Blackout,1996,NULL,Yes
11852,Alles auer Mord - Blutiger Ernst,1995,NULL,Yes
11853,Alles auer Mord - Das blonde Gift,1997,NULL,Yes
11854,Alles auer Mord - Das Kuckucksei,1995,NULL,Yes
11855,Alles auer Mord - Der Mann im Mond,1994,NULL,Yes
11856,Alles auer Mord - Der Name der Nelke,1994,NULL,Yes
11857,Alles auer Mord - Die Frau ohne Gesicht,1994,NULL,Yes
11858,Alles auer Mord - Hals ber Kopf,1996,NULL,Yes
11859,Alles auer Mord - Marion Nr. 5,1995,NULL,Yes
11860,Alles auer Mord - Todkppchen,1996,NULL,Yes
11861,Alles auer Mord - Tdlicher Irrtum,1995,NULL,Yes
11862,Alles auer Mord - Wahnsinn mit Methode,1995,NULL,Yes
11863,Alles auer Mord - Wer Gewalt st,1994,NULL,Yes
11864,Alles auer Mord - Y.?17,1995,NULL,Yes
11865,Alles Bob!,1999,6,Yes
